"","NodesExpanded","Algorithm"
"1",503,"A*"
"2",543,"A*"
"3",602,"A*"
"4",1739,"A*"
"5",354,"A*"
"6",1116,"A*"
"7",485,"A*"
"8",1162,"A*"
"9",592,"A*"
"10",473,"A*"
"11",451,"A*"
"12",778,"A*"
"13",890,"A*"
"14",780,"A*"
"15",673,"A*"
"16",425,"A*"
"17",460,"A*"
"18",1083,"A*"
"19",575,"A*"
"20",1209,"A*"
"21",670,"A*"
"22",1047,"A*"
"23",840,"A*"
"24",696,"A*"
"25",1090,"A*"
"26",443,"A*"
"27",835,"A*"
"28",558,"A*"
"29",2577,"A*"
"30",833,"A*"
"31",432,"A*"
"32",763,"A*"
"33",536,"A*"
"34",965,"A*"
"35",296,"A*"
"36",598,"A*"
"37",814,"A*"
"38",607,"A*"
"39",490,"A*"
"40",1654,"A*"
"41",930,"A*"
"42",250,"A*"
"43",1268,"A*"
"44",730,"A*"
"45",651,"A*"
"46",678,"A*"
"47",873,"A*"
"48",1095,"A*"
"49",484,"A*"
"50",996,"A*"
"51",589,"A*"
"52",818,"A*"
"53",910,"A*"
"54",619,"A*"
"55",413,"A*"
"56",604,"A*"
"57",746,"A*"
"58",1050,"A*"
"59",1131,"A*"
"60",604,"A*"
"61",684,"A*"
"62",437,"A*"
"63",2106,"A*"
"64",928,"A*"
"65",1172,"A*"
"66",943,"A*"
"67",706,"A*"
"68",1215,"A*"
"69",480,"A*"
"70",579,"A*"
"71",806,"A*"
"72",278,"A*"
"73",782,"A*"
"74",2125,"A*"
"75",696,"A*"
"76",1610,"A*"
"77",712,"A*"
"78",258,"A*"
"79",1901,"A*"
"80",2456,"A*"
"81",703,"A*"
"82",236,"A*"
"83",598,"A*"
"84",981,"A*"
"85",3189,"A*"
"86",283,"A*"
"87",433,"A*"
"88",2574,"A*"
"89",449,"A*"
"90",556,"A*"
"91",505,"A*"
"92",1863,"A*"
"93",2120,"A*"
"94",1263,"A*"
"95",1205,"A*"
"96",1266,"A*"
"97",557,"A*"
"98",611,"A*"
"99",439,"A*"
"100",428,"A*"
"101",674,"A*"
"102",808,"A*"
"103",1226,"A*"
"104",387,"A*"
"105",876,"A*"
"106",422,"A*"
"107",463,"A*"
"108",382,"A*"
"109",755,"A*"
"110",1588,"A*"
"111",639,"A*"
"112",1100,"A*"
"113",980,"A*"
"114",491,"A*"
"115",1177,"A*"
"116",1092,"A*"
"117",785,"A*"
"118",607,"A*"
"119",1048,"A*"
"120",360,"A*"
"121",1414,"A*"
"122",2148,"A*"
"123",1306,"A*"
"124",1268,"A*"
"125",500,"A*"
"126",572,"A*"
"127",734,"A*"
"128",980,"A*"
"129",604,"A*"
"130",1909,"A*"
"131",827,"A*"
"132",940,"A*"
"133",655,"A*"
"134",723,"A*"
"135",523,"A*"
"136",779,"A*"
"137",1059,"A*"
"138",909,"A*"
"139",1523,"A*"
"140",597,"A*"
"141",881,"A*"
"142",495,"A*"
"143",2086,"A*"
"144",1384,"A*"
"145",523,"A*"
"146",766,"A*"
"147",985,"A*"
"148",572,"A*"
"149",1202,"A*"
"150",636,"A*"
"151",1744,"A*"
"152",682,"A*"
"153",1457,"A*"
"154",1106,"A*"
"155",844,"A*"
"156",498,"A*"
"157",1246,"A*"
"158",751,"A*"
"159",613,"A*"
"160",1619,"A*"
"161",634,"A*"
"162",603,"A*"
"163",568,"A*"
"164",872,"A*"
"165",608,"A*"
"166",361,"A*"
"167",636,"A*"
"168",609,"A*"
"169",1623,"A*"
"170",818,"A*"
"171",794,"A*"
"172",287,"A*"
"173",2817,"A*"
"174",784,"A*"
"175",325,"A*"
"176",475,"A*"
"177",418,"A*"
"178",526,"A*"
"179",577,"A*"
"180",671,"A*"
"181",785,"A*"
"182",1002,"A*"
"183",2078,"A*"
"184",939,"A*"
"185",622,"A*"
"186",416,"A*"
"187",580,"A*"
"188",758,"A*"
"189",740,"A*"
"190",1131,"A*"
"191",1185,"A*"
"192",577,"A*"
"193",693,"A*"
"194",1929,"A*"
"195",894,"A*"
"196",1052,"A*"
"197",531,"A*"
"198",1567,"A*"
"199",1874,"A*"
"200",469,"A*"
"201",1239,"A*"
"202",1035,"A*"
"203",1567,"A*"
"204",950,"A*"
"205",410,"A*"
"206",912,"A*"
"207",340,"A*"
"208",457,"A*"
"209",810,"A*"
"210",489,"A*"
"211",1186,"A*"
"212",721,"A*"
"213",1264,"A*"
"214",1631,"A*"
"215",1537,"A*"
"216",1118,"A*"
"217",1586,"A*"
"218",624,"A*"
"219",2434,"A*"
"220",600,"A*"
"221",1532,"A*"
"222",660,"A*"
"223",564,"A*"
"224",585,"A*"
"225",283,"A*"
"226",1111,"A*"
"227",1914,"A*"
"228",891,"A*"
"229",541,"A*"
"230",207,"A*"
"231",1344,"A*"
"232",309,"A*"
"233",474,"A*"
"234",513,"A*"
"235",1484,"A*"
"236",563,"A*"
"237",870,"A*"
"238",1916,"A*"
"239",1194,"A*"
"240",613,"A*"
"241",391,"A*"
"242",674,"A*"
"243",460,"A*"
"244",782,"A*"
"245",933,"A*"
"246",1308,"A*"
"247",841,"A*"
"248",1260,"A*"
"249",828,"A*"
"250",319,"A*"
"251",1010,"A*"
"252",2144,"A*"
"253",261,"A*"
"254",947,"A*"
"255",1334,"A*"
"256",817,"A*"
"257",320,"A*"
"258",1457,"A*"
"259",494,"A*"
"260",512,"A*"
"261",868,"A*"
"262",1657,"A*"
"263",1290,"A*"
"264",1407,"A*"
"265",1128,"A*"
"266",821,"A*"
"267",471,"A*"
"268",438,"A*"
"269",1325,"A*"
"270",463,"A*"
"271",324,"A*"
"272",1573,"A*"
"273",681,"A*"
"274",872,"A*"
"275",593,"A*"
"276",429,"A*"
"277",757,"A*"
"278",812,"A*"
"279",3605,"A*"
"280",1399,"A*"
"281",1671,"A*"
"282",516,"A*"
"283",746,"A*"
"284",989,"A*"
"285",1025,"A*"
"286",828,"A*"
"287",1199,"A*"
"288",798,"A*"
"289",668,"A*"
"290",564,"A*"
"291",1599,"A*"
"292",223,"A*"
"293",1566,"A*"
"294",1014,"A*"
"295",1120,"A*"
"296",1579,"A*"
"297",769,"A*"
"298",539,"A*"
"299",1793,"A*"
"300",366,"A*"
"301",944,"A*"
"302",1033,"A*"
"303",443,"A*"
"304",1713,"A*"
"305",2276,"A*"
"306",1018,"A*"
"307",445,"A*"
"308",943,"A*"
"309",3311,"A*"
"310",1244,"A*"
"311",512,"A*"
"312",343,"A*"
"313",1673,"A*"
"314",1146,"A*"
"315",282,"A*"
"316",842,"A*"
"317",1123,"A*"
"318",882,"A*"
"319",1289,"A*"
"320",1125,"A*"
"321",653,"A*"
"322",242,"A*"
"323",585,"A*"
"324",1144,"A*"
"325",358,"A*"
"326",986,"A*"
"327",503,"A*"
"328",358,"A*"
"329",339,"A*"
"330",940,"A*"
"331",1635,"A*"
"332",1212,"A*"
"333",1017,"A*"
"334",1003,"A*"
"335",841,"A*"
"336",1009,"A*"
"337",507,"A*"
"338",1572,"A*"
"339",595,"A*"
"340",1595,"A*"
"341",1547,"A*"
"342",632,"A*"
"343",838,"A*"
"344",448,"A*"
"345",553,"A*"
"346",1296,"A*"
"347",644,"A*"
"348",345,"A*"
"349",1084,"A*"
"350",1387,"A*"
"351",393,"A*"
"352",329,"A*"
"353",672,"A*"
"354",440,"A*"
"355",510,"A*"
"356",1667,"A*"
"357",1046,"A*"
"358",2256,"A*"
"359",1688,"A*"
"360",861,"A*"
"361",497,"A*"
"362",848,"A*"
"363",656,"A*"
"364",769,"A*"
"365",1745,"A*"
"366",1622,"A*"
"367",347,"A*"
"368",1375,"A*"
"369",380,"A*"
"370",770,"A*"
"371",527,"A*"
"372",413,"A*"
"373",794,"A*"
"374",693,"A*"
"375",604,"A*"
"376",244,"A*"
"377",1686,"A*"
"378",2212,"A*"
"379",890,"A*"
"380",933,"A*"
"381",864,"A*"
"382",1823,"A*"
"383",1427,"A*"
"384",2593,"A*"
"385",274,"A*"
"386",1464,"A*"
"387",459,"A*"
"388",5270,"A*"
"389",545,"A*"
"390",697,"A*"
"391",698,"A*"
"392",298,"A*"
"393",668,"A*"
"394",314,"A*"
"395",1168,"A*"
"396",525,"A*"
"397",275,"A*"
"398",204,"A*"
"399",491,"A*"
"400",249,"A*"
"401",513,"A*"
"402",807,"A*"
"403",812,"A*"
"404",488,"A*"
"405",625,"A*"
"406",796,"A*"
"407",852,"A*"
"408",1516,"A*"
"409",326,"A*"
"410",869,"A*"
"411",1743,"A*"
"412",430,"A*"
"413",1086,"A*"
"414",893,"A*"
"415",686,"A*"
"416",1229,"A*"
"417",340,"A*"
"418",731,"A*"
"419",1002,"A*"
"420",871,"A*"
"421",431,"A*"
"422",754,"A*"
"423",899,"A*"
"424",851,"A*"
"425",835,"A*"
"426",1922,"A*"
"427",437,"A*"
"428",453,"A*"
"429",779,"A*"
"430",957,"A*"
"431",1367,"A*"
"432",1618,"A*"
"433",1086,"A*"
"434",380,"A*"
"435",2861,"A*"
"436",1332,"A*"
"437",1367,"A*"
"438",1037,"A*"
"439",1200,"A*"
"440",454,"A*"
"441",650,"A*"
"442",741,"A*"
"443",906,"A*"
"444",858,"A*"
"445",614,"A*"
"446",885,"A*"
"447",1430,"A*"
"448",509,"A*"
"449",976,"A*"
"450",994,"A*"
"451",774,"A*"
"452",1383,"A*"
"453",766,"A*"
"454",2029,"A*"
"455",615,"A*"
"456",567,"A*"
"457",459,"A*"
"458",2686,"A*"
"459",397,"A*"
"460",281,"A*"
"461",406,"A*"
"462",832,"A*"
"463",649,"A*"
"464",398,"A*"
"465",1262,"A*"
"466",2264,"A*"
"467",894,"A*"
"468",1110,"A*"
"469",1229,"A*"
"470",1121,"A*"
"471",880,"A*"
"472",1150,"A*"
"473",603,"A*"
"474",1184,"A*"
"475",746,"A*"
"476",847,"A*"
"477",914,"A*"
"478",728,"A*"
"479",694,"A*"
"480",347,"A*"
"481",293,"A*"
"482",666,"A*"
"483",1088,"A*"
"484",683,"A*"
"485",572,"A*"
"486",409,"A*"
"487",372,"A*"
"488",505,"A*"
"489",751,"A*"
"490",567,"A*"
"491",816,"A*"
"492",838,"A*"
"493",694,"A*"
"494",1099,"A*"
"495",491,"A*"
"496",522,"A*"
"497",593,"A*"
"498",324,"A*"
"499",274,"A*"
"500",978,"A*"
"501",2035,"A*"
"502",559,"A*"
"503",749,"A*"
"504",432,"A*"
"505",640,"A*"
"506",465,"A*"
"507",1140,"A*"
"508",2050,"A*"
"509",927,"A*"
"510",564,"A*"
"511",1567,"A*"
"512",533,"A*"
"513",1300,"A*"
"514",1132,"A*"
"515",3306,"A*"
"516",678,"A*"
"517",620,"A*"
"518",578,"A*"
"519",522,"A*"
"520",595,"A*"
"521",1045,"A*"
"522",1652,"A*"
"523",1984,"A*"
"524",1588,"A*"
"525",535,"A*"
"526",929,"A*"
"527",763,"A*"
"528",808,"A*"
"529",606,"A*"
"530",925,"A*"
"531",417,"A*"
"532",762,"A*"
"533",968,"A*"
"534",1222,"A*"
"535",362,"A*"
"536",608,"A*"
"537",866,"A*"
"538",329,"A*"
"539",665,"A*"
"540",935,"A*"
"541",1123,"A*"
"542",678,"A*"
"543",962,"A*"
"544",808,"A*"
"545",605,"A*"
"546",1793,"A*"
"547",739,"A*"
"548",939,"A*"
"549",3398,"A*"
"550",1292,"A*"
"551",1632,"A*"
"552",791,"A*"
"553",1533,"A*"
"554",343,"A*"
"555",1105,"A*"
"556",446,"A*"
"557",2261,"A*"
"558",756,"A*"
"559",366,"A*"
"560",1002,"A*"
"561",681,"A*"
"562",539,"A*"
"563",510,"A*"
"564",1028,"A*"
"565",1727,"A*"
"566",906,"A*"
"567",1386,"A*"
"568",1436,"A*"
"569",370,"A*"
"570",706,"A*"
"571",1403,"A*"
"572",1297,"A*"
"573",586,"A*"
"574",1576,"A*"
"575",2273,"A*"
"576",1733,"A*"
"577",823,"A*"
"578",389,"A*"
"579",1220,"A*"
