"","StepCount","Algorithm","MazeSize","WallChanges"
"1",22,"Manhattan","Small","Small"
"2",194,"Manhattan","Small","Small"
"3",320,"Manhattan","Small","Small"
"4",22,"Manhattan","Small","Small"
"5",156,"Manhattan","Small","Small"
"6",32,"Manhattan","Small","Small"
"7",74,"Manhattan","Small","Small"
"8",56,"Manhattan","Small","Small"
"9",146,"Manhattan","Small","Small"
"10",34,"Manhattan","Small","Small"
"11",92,"Manhattan","Small","Small"
"12",122,"Manhattan","Small","Small"
"13",64,"Manhattan","Small","Small"
"14",26,"Manhattan","Small","Small"
"15",154,"Manhattan","Small","Small"
"16",78,"Manhattan","Small","Small"
"17",90,"Manhattan","Small","Small"
"18",50,"Manhattan","Small","Small"
"19",44,"Manhattan","Small","Small"
"20",40,"Manhattan","Small","Small"
"21",134,"Manhattan","Small","Small"
"22",226,"Manhattan","Small","Small"
"23",80,"Manhattan","Small","Small"
"24",58,"Manhattan","Small","Small"
"25",66,"Manhattan","Small","Small"
"26",170,"Manhattan","Small","Small"
"27",38,"Manhattan","Small","Small"
"28",130,"Manhattan","Small","Small"
"29",118,"Manhattan","Small","Small"
"30",154,"Manhattan","Small","Small"
"31",20,"Manhattan","Small","Small"
"32",30,"Manhattan","Small","Small"
"33",52,"Manhattan","Small","Small"
"34",42,"Manhattan","Small","Small"
"35",108,"Manhattan","Small","Small"
"36",44,"Manhattan","Small","Small"
"37",38,"Manhattan","Small","Small"
"38",34,"Manhattan","Small","Small"
"39",178,"Manhattan","Small","Small"
"40",104,"Manhattan","Small","Small"
"41",142,"Manhattan","Small","Small"
"42",96,"Manhattan","Small","Small"
"43",342,"Manhattan","Small","Small"
"44",102,"Manhattan","Small","Small"
"45",60,"Manhattan","Small","Small"
"46",34,"Manhattan","Small","Small"
"47",94,"Manhattan","Small","Small"
"48",110,"Manhattan","Small","Small"
"49",34,"Manhattan","Small","Small"
"50",156,"Manhattan","Small","Small"
"51",98,"Manhattan","Small","Small"
"52",54,"Manhattan","Small","Small"
"53",80,"Manhattan","Small","Small"
"54",52,"Manhattan","Small","Small"
"55",96,"Manhattan","Small","Small"
"56",44,"Manhattan","Small","Small"
"57",78,"Manhattan","Small","Small"
"58",62,"Manhattan","Small","Small"
"59",60,"Manhattan","Small","Small"
"60",48,"Manhattan","Small","Small"
"61",140,"Manhattan","Small","Small"
"62",50,"Manhattan","Small","Small"
"63",72,"Manhattan","Small","Small"
"64",100,"Manhattan","Small","Small"
"65",82,"Manhattan","Small","Small"
"66",120,"Manhattan","Small","Small"
"67",136,"Manhattan","Small","Small"
"68",140,"Manhattan","Small","Small"
"69",178,"Manhattan","Small","Small"
"70",190,"Manhattan","Small","Small"
"71",84,"Manhattan","Small","Small"
"72",156,"Manhattan","Small","Small"
"73",186,"Manhattan","Small","Small"
"74",88,"Manhattan","Small","Small"
"75",102,"Manhattan","Small","Small"
"76",66,"Manhattan","Small","Small"
"77",460,"Manhattan","Small","Small"
"78",114,"Manhattan","Small","Small"
"79",74,"Manhattan","Small","Small"
"80",32,"Manhattan","Small","Small"
"81",142,"Manhattan","Small","Small"
"82",76,"Manhattan","Small","Small"
"83",66,"Manhattan","Small","Small"
"84",64,"Manhattan","Small","Small"
"85",22,"Manhattan","Small","Small"
"86",36,"Manhattan","Small","Small"
"87",74,"Manhattan","Small","Small"
